skill,doc_freq,descriptor_id,descriptor_name,cosine,match_type,mapped
contract negotiation,182,103,Negotiating,0.6697,semantic,True
contractor management,51,154,Staffing ,0.5081,unmapped,False
contracts,131,154,Staffing ,0.4383,unmapped,False
control,59,27,Control of Settings,0.5841,lexical,True
control systems,108,27,Control of Settings,0.6048,semantic,True
controls,89,27,Control of Settings,0.6017,lexical,True
cooking,180,3,Agronomy and Horticulture,0.3431,unmapped,False
cooperation,59,30,Coordinating the Work and Activities of Others,0.6311,semantic,True
coordination,553,61,Gross Body Coordination,0.6521,lexical,True
copywriting,54,38,Documenting and Recording Information,0.4681,unmapped,False
core values,81,26,Concern for Others,0.3035,unmapped,False
corporate law,56,78,Law,0.41,lexical,True
corrective action,124,69,"Identifying Objects, Actions and Events",0.3394,unmapped,False
corrective actions,139,69,"Identifying Objects, Actions and Events",0.3966,unmapped,False
corrective maintenance,66,124,Preventative Maintenance,0.5797,semantic,True
correspondence,114,55,Form Perception,0.341,unmapped,False
cosmetology,69,102,Near Vision,0.3341,unmapped,False
cosmetology license,159,179, Active Learning,0.2171,unmapped,False
cost accounting,51,2,Accounting,0.5237,lexical,True
cost analysis,145,45,Estimating Quantifiable Characteristics,0.484,unmapped,False
cost control,474,88,Managing Resources,0.4202,unmapped,False
cost estimates,60,45,Estimating Quantifiable Characteristics,0.4838,unmapped,False
cost estimating,101,45,Estimating Quantifiable Characteristics,0.5281,unmapped,False
cost estimation,155,45,Estimating Quantifiable Characteristics,0.5029,unmapped,False
cost management,149,88,Managing Resources,0.5449,unmapped,False
cost reduction,115,144,Setting Objectives and Formulating Strategies,0.2886,unmapped,False
costing,68,88,Managing Resources,0.4046,unmapped,False
counseling,372,44,Establishing and Maintaining Interpersonal Relationships,0.4061,unmapped,False
counselling,336,167,Training and Teaching ,0.4733,unmapped,False
courage,61,1, Independence,0.3845,unmapped,False
cover letter,230,154,Staffing ,0.2389,unmapped,False
covid19 vaccination,638,82,"Livestock, Farm animals and Wildlife",0.2019,unmapped,False
covid19 vaccine,61,0, Adaptability,0.1344,unmapped,False
cpa,480,130,Public Affairs and Government relations,0.3652,unmapped,False
cpa designation,304,130,Public Affairs and Government relations,0.3149,unmapped,False
cpr,872,154,Staffing ,0.2948,unmapped,False
cpr certification,348,167,Training and Teaching ,0.2655,unmapped,False
cpr techniques,100,38,Documenting and Recording Information,0.2786,unmapped,False
creative problem solving,88,126,Problem Solving,0.6141,lexical,True
creative problemsolving,52,180, Creativity,0.592,semantic,True
creative thinking,197,165,Thinking Creatively,0.7923,semantic,True
creativity,828,180, Creativity,0.909,lexical,True
credit,83,180, Creativity,0.3735,unmapped,False
credit analysis,50,2,Accounting,0.4099,unmapped,False
criminal background check,332,98,"Monitoring Processes, Materials or Systems",0.2039,unmapped,False
criminal code of canada,51,78,Law,0.4047,unmapped,False
criminal law,65,78,Law,0.4923,lexical,True
criminal record check,528,127,Processing Information,0.2185,unmapped,False
criminal records check,351,98,"Monitoring Processes, Materials or Systems",0.2446,unmapped,False
crisis intervention,315,144,Setting Objectives and Formulating Strategies,0.3042,unmapped,False
crisis management,186,166,Time Management,0.3794,unmapped,False
critical care,356,31,Critical Thinking,0.4561,unmapped,False
critical care nursing,143,31,Critical Thinking,0.4612,unmapped,False
critical incident,99,31,Critical Thinking,0.4487,unmapped,False
critical thinking,2711,31,Critical Thinking,0.8524,lexical,True
critical thinking skills,272,31,Critical Thinking,0.8009,lexical,True
crm,573,166,Time Management,0.35,unmapped,False
crm software,152,166,Time Management,0.3167,unmapped,False
crm systems,79,166,Time Management,0.3804,unmapped,False
crossfunctional collaboration,327,20,Collaboration,0.6073,lexical,True
crossfunctional teams,103,161,Team Building,0.5014,unmapped,False
crossselling,90,154,Staffing ,0.3807,unmapped,False
crouching,136,154,Staffing ,0.3786,unmapped,False
csa,109,154,Staffing ,0.3688,unmapped,False
css,312,154,Staffing ,0.2445,unmapped,False
ct,73,130,Public Affairs and Government relations,0.2409,unmapped,False
culinary arts,107,7,Arts,0.492,lexical,True
culinary experience,53,66,Hospitality,0.4622,unmapped,False
culinary skills,71,167,Training and Teaching ,0.4691,unmapped,False
cultural awareness,73,147,Social Perceptiveness,0.4403,unmapped,False
cultural competence,117,167,Training and Teaching ,0.4058,unmapped,False
cultural competency,60,167,Training and Teaching ,0.4462,unmapped,False
cultural diversity,96,1, Independence,0.3683,unmapped,False
cultural safety,84,131,Public Safety and Security,0.4449,unmapped,False
cultural sensitivity,239,147,Social Perceptiveness,0.4666,unmapped,False
culture,50,180, Creativity,0.399,unmapped,False
curiosity,269,122,Physics ,0.43,unmapped,False
curriculum development,309,160,Teaching,0.5942,semantic,True
curriculum vitae,136,160,Teaching,0.3572,unmapped,False
customer engagement,114,139,Sales and Marketing,0.3958,unmapped,False
customer experience,242,18,Client Service,0.4385,unmapped,False
customer experience (cx),59,18,Client Service,0.3249,unmapped,False
customer focus,423,9,Attention to Detail,0.3803,unmapped,False
customer interaction,52,23,Communicating with Persons Outside Organization,0.4017,unmapped,False
customer relations,257,139,Sales and Marketing,0.4828,unmapped,False
customer relationship management,511,139,Sales and Marketing,0.4314,unmapped,False
customer relationship management (crm),171,14,Business Management,0.4052,unmapped,False
customer relationships,62,139,Sales and Marketing,0.4399,unmapped,False
customer retention,52,154,Staffing ,0.3768,unmapped,False
customer satisfaction,230,139,Sales and Marketing,0.4207,unmapped,False
customer service,11788,18,Client Service,0.4881,unmapped,False
customer service experience,198,18,Client Service,0.5112,unmapped,False
customer service orientation,103,143,Service Orientation,0.7394,lexical,True
customer success,69,139,Sales and Marketing,0.4331,unmapped,False
customer support,138,8,Assisting and Caring for Others,0.4686,unmapped,False
customs,67,1, Independence,0.3533,unmapped,False
cyber security,72,37,Digital Systems Production,0.4383,unmapped,False
cybersecurity,165,37,Digital Systems Production,0.4297,unmapped,False
dashboards,56,98,"Monitoring Processes, Materials or Systems",0.3306,unmapped,False
data accuracy,70,5,Analyzing Data or Information,0.3334,unmapped,False
data analysis,3897,5,Analyzing Data or Information,0.5556,semantic,True
data analytics,449,5,Analyzing Data or Information,0.5274,unmapped,False
data architecture,101,127,Processing Information,0.4312,unmapped,False
data cleansing,83,5,Analyzing Data or Information,0.4051,unmapped,False
data collection,354,5,Analyzing Data or Information,0.3866,unmapped,False
data compilation,51,127,Processing Information,0.4627,unmapped,False
data engineering,143,5,Analyzing Data or Information,0.5149,unmapped,False
data entry,1000,5,Analyzing Data or Information,0.4167,unmapped,False
data extraction,66,5,Analyzing Data or Information,0.517,unmapped,False
data gathering,62,5,Analyzing Data or Information,0.4495,unmapped,False
data governance,153,5,Analyzing Data or Information,0.451,unmapped,False
data integration,185,5,Analyzing Data or Information,0.4433,unmapped,False
data integrity,215,5,Analyzing Data or Information,0.4286,unmapped,False
data interpretation,205,5,Analyzing Data or Information,0.4952,unmapped,False
data management,599,5,Analyzing Data or Information,0.4859,unmapped,False
data manipulation,129,5,Analyzing Data or Information,0.5509,semantic,True
data migration,71,5,Analyzing Data or Information,0.3162,unmapped,False
data mining,196,69,"Identifying Objects, Actions and Events",0.4148,unmapped,False
data modeling,254,5,Analyzing Data or Information,0.4206,unmapped,False
data pipelines,67,127,Processing Information,0.4485,unmapped,False
data presentation,54,5,Analyzing Data or Information,0.4709,unmapped,False
data privacy,66,5,Analyzing Data or Information,0.417,unmapped,False
data processing,94,127,Processing Information,0.6543,semantic,True
data protection,70,131,Public Safety and Security,0.3624,unmapped,False
data quality,159,76,Judging Quality,0.5051,unmapped,False
data reporting,60,5,Analyzing Data or Information,0.4635,unmapped,False
data science,276,5,Analyzing Data or Information,0.4875,unmapped,False
data security,137,131,Public Safety and Security,0.4099,unmapped,False
data structures,90,5,Analyzing Data or Information,0.4702,unmapped,False
data transformation,51,5,Analyzing Data or Information,0.3865,unmapped,False
data validation,91,5,Analyzing Data or Information,0.3245,unmapped,False
data visualization,528,150,Spatial Visualization,0.451,unmapped,False
data warehousing,200,5,Analyzing Data or Information,0.4383,unmapped,False
database,87,5,Analyzing Data or Information,0.3091,unmapped,False
database design,50,69,"Identifying Objects, Actions and Events",0.2959,unmapped,False
database management,230,166,Time Management,0.4341,unmapped,False
databases,298,5,Analyzing Data or Information,0.3823,unmapped,False
datadriven decision making,105,32,Decision Making,0.3548,lexical,True
datadriven decisionmaking,58,32,Decision Making,0.3885,unmapped,False
deadline management,133,166,Time Management,0.55,unmapped,False
deadlines,150,140,Scheduling Work and Activities,0.4475,unmapped,False
debugging,175,169,Troubleshooting,0.5471,unmapped,False
dec,54,130,Public Affairs and Government relations,0.1918,unmapped,False
decision making,2062,32,Decision Making,0.7443,lexical,True
decision making skills,53,32,Decision Making,0.6275,lexical,True
decisionmaking,1294,32,Decision Making,0.6928,semantic,True
decisionmaking skills,300,32,Decision Making,0.6521,semantic,True
deep learning,71,179, Active Learning,0.4201,unmapped,False
defined contribution pension plan,58,2,Accounting,0.222,unmapped,False
delegation,385,154,Staffing ,0.4358,unmapped,False
delivery,125,154,Staffing ,0.4043,unmapped,False
dental,269,112,Oral Communication: Oral Expression,0.396,unmapped,False
dental benefits,308,112,Oral Communication: Oral Expression,0.3155,unmapped,False
dental care,50,8,Assisting and Caring for Others,0.4216,unmapped,False
dental coverage,97,73,"Inspecting Equipment, Structures or Material",0.2341,unmapped,False
dental insurance,289,112,Oral Communication: Oral Expression,0.2545,unmapped,False
dentistry,165,112,Oral Communication: Oral Expression,0.3612,unmapped,False
dependability,145,0, Adaptability,0.544,unmapped,False
deployment,120,145,Setting Up,0.3144,unmapped,False
dermatology,51,121,Physical Health,0.273,unmapped,False
design,536,128,Product Design,0.5025,lexical,True
design patterns,99,114,Pattern Organization Speed,0.5321,unmapped,False
design reviews,55,128,Product Design,0.342,unmapped,False
design thinking,54,165,Thinking Creatively,0.6394,semantic,True
detail orientation,230,149,Spatial Orientation,0.5439,unmapped,False
detail oriented,155,9,Attention to Detail,0.4633,unmapped,False
detailed design,57,128,Product Design,0.4384,unmapped,False
detailorientation,66,9,Attention to Detail,0.4569,unmapped,False
detailoriented,594,9,Attention to Detail,0.472,unmapped,False
development,609,19,Coaching and Developing Others,0.4923,unmapped,False
development opportunities,57,25,"Computer, technology and Information Systems",0.4032,unmapped,False
devops,461,37,Digital Systems Production,0.3706,unmapped,False
dexterity,79,51,Finger Dexterity,0.6582,lexical,True
diabetes management,60,85,Management of Financial Resources,0.2184,unmapped,False
diagnosis,176,169,Troubleshooting,0.3978,unmapped,False
diagnostic imaging,117,73,"Inspecting Equipment, Structures or Material",0.3897,unmapped,False
diagnostic skills,53,169,Troubleshooting,0.4633,unmapped,False
diagnostics,178,169,Troubleshooting,0.5369,unmapped,False
dialysis,89,154,Staffing ,0.2668,unmapped,False
digital design,57,36,Digital Literacy,0.5308,unmapped,False
digital marketing,229,139,Sales and Marketing,0.5456,unmapped,False
digital transformation,62,37,Digital Systems Production,0.5575,semantic,True
diploma,87,167,Training and Teaching ,0.4867,unmapped,False
diplomacy,387,130,Public Affairs and Government relations,0.5033,unmapped,False
direction,53,149,Spatial Orientation,0.4138,unmapped,False
disability,65,104,Night Vision,0.3,unmapped,False
disability accommodation,89,66,Hospitality,0.3329,unmapped,False
disability accommodations,60,8,Assisting and Caring for Others,0.3102,unmapped,False
disability insurance,104,8,Assisting and Caring for Others,0.2099,unmapped,False
disability management,55,166,Time Management,0.414,unmapped,False
disaster recovery,60,137,Repairing,0.3027,unmapped,False
discharge planning,255,123,Planning and Organizing,0.39,unmapped,False
discipline,102,154,Staffing ,0.4334,unmapped,False
discounts,81,154,Staffing ,0.2525,unmapped,False
discretion,236,1, Independence,0.3135,unmapped,False
disease prevention,110,121,Physical Health,0.3406,unmapped,False
dispute resolution,92,138,Resolving Conflicts and Negotiating with Others,0.6822,semantic,True
distributed systems,92,37,Digital Systems Production,0.4002,unmapped,False
distribution,183,1, Independence,0.3149,unmapped,False
diversity,1496,1, Independence,0.4705,unmapped,False
diversity and inclusion,981,1, Independence,0.4776,unmapped,False
diversity awareness,73,1, Independence,0.3765,unmapped,False
diversity equity and inclusion,73,1, Independence,0.4119,unmapped,False
dns,66,130,Public Affairs and Government relations,0.2496,unmapped,False
docker,312,0, Adaptability,0.22,unmapped,False
document control,54,38,Documenting and Recording Information,0.4262,unmapped,False
document management,112,38,Documenting and Recording Information,0.4885,unmapped,False
documentation,1608,38,Documenting and Recording Information,0.5553,semantic,True
documentation management,52,38,Documenting and Recording Information,0.5278,unmapped,False
documentation skills,87,38,Documenting and Recording Information,0.5412,unmapped,False
drafting,146,154,Staffing ,0.4043,unmapped,False
drawings,126,180, Creativity,0.4758,unmapped,False
dredging,86,154,Staffing ,0.3375,unmapped,False
drive,70,122,Physics ,0.3363,unmapped,False
driver's abstract,78,107,"Operating Vehicles, Mechanized Devices or Equipment",0.3442,unmapped,False
driver's license,1456,107,"Operating Vehicles, Mechanized Devices or Equipment",0.2039,unmapped,False
drivers license,70,107,"Operating Vehicles, Mechanized Devices or Equipment",0.1894,unmapped,False
driving,211,107,"Operating Vehicles, Mechanized Devices or Equipment",0.4046,unmapped,False
driving license,125,179, Active Learning,0.2319,unmapped,False
drug and alcohol testing,51,132,Quality Control Testing,0.3075,unmapped,False
due diligence,125,9,Attention to Detail,0.313,unmapped,False
dynamic environment,56,39,Dynamic Strength,0.3881,unmapped,False
dynamism,71,122,Physics ,0.3907,unmapped,False
early childhood education,70,167,Training and Teaching ,0.4635,unmapped,False
earn extra income,51,72,Innovativeness,0.2405,unmapped,False
earned value management,51,144,Setting Objectives and Formulating Strategies,0.3981,unmapped,False
echarting software,54,108,Operation Monitoring of Machinery and Equipment,0.3031,unmapped,False
ecology,55,82,"Livestock, Farm animals and Wildlife",0.5056,unmapped,False
ecommerce,154,139,Sales and Marketing,0.4282,unmapped,False
economic conditions,128,40,Economics,0.4635,lexical,True
economics,179,40,Economics,0.5302,lexical,True
editing,146,180, Creativity,0.3985,unmapped,False
education,1238,167,Training and Teaching ,0.6717,semantic,True
effective communication,261,22,Communicating with Coworkers,0.5548,semantic,True
efficiency,235,1, Independence,0.4421,unmapped,False
electrical,319,41,Electrical and Electronics,0.5842,lexical,True
electrical design,93,41,Electrical and Electronics,0.5605,semantic,True
electrical engineering,961,41,Electrical and Electronics,0.6375,semantic,True
electrical equipment,54,41,Electrical and Electronics,0.589,semantic,True
electrical maintenance,54,42,Electronic Maintenance,0.6906,semantic,True
electrical schematics,66,41,Electrical and Electronics,0.5537,semantic,True
electrical systems,265,41,Electrical and Electronics,0.6017,semantic,True
electrician,57,41,Electrical and Electronics,0.4441,unmapped,False
electronic health records,82,38,Documenting and Recording Information,0.4478,unmapped,False
electronics,137,41,Electrical and Electronics,0.6306,lexical,True
electrophysiology,66,122,Physics ,0.3115,unmapped,False
email,295,23,Communicating with Persons Outside Organization,0.3347,unmapped,False
email management,59,166,Time Management,0.3853,unmapped,False
email marketing,71,139,Sales and Marketing,0.4448,unmapped,False
embedded systems,54,159,Systems Analysis,0.4353,unmapped,False
emergency care,116,8,Assisting and Caring for Others,0.4947,unmapped,False
emergency department,70,130,Public Affairs and Government relations,0.4069,unmapped,False
emergency medicine,252,8,Assisting and Caring for Others,0.3773,unmapped,False
emergency nursing,143,8,Assisting and Caring for Others,0.4089,unmapped,False
emergency procedures,63,8,Assisting and Caring for Others,0.3245,unmapped,False
emergency response,306,8,Assisting and Caring for Others,0.3672,unmapped,False
emergency situations,63,8,Assisting and Caring for Others,0.3154,unmapped,False
emergency travel benefits,78,8,Assisting and Caring for Others,0.2433,unmapped,False
emerging technologies,58,25,"Computer, technology and Information Systems",0.3578,unmapped,False
emotional intelligence,125,33,Deductive Reasoning,0.4567,unmapped,False
empathy,744,26,Concern for Others,0.6473,semantic,True
employee & family assistance program,51,8,Assisting and Caring for Others,0.3866,unmapped,False
employee and family assistance program,132,8,Assisting and Caring for Others,0.3892,unmapped,False
employee assistance program,533,8,Assisting and Caring for Others,0.4037,unmapped,False
employee benefits,189,67,Human Resources and Labour relations,0.4459,unmapped,False
employee development,169,67,Human Resources and Labour relations,0.5383,unmapped,False
employee discount,124,154,Staffing ,0.3491,unmapped,False
employee discounts,180,154,Staffing ,0.3649,unmapped,False
employee engagement,202,154,Staffing ,0.4722,unmapped,False
employee management,64,87,Management of Personnel Resources,0.6175,semantic,True
employee referral program,55,23,Communicating with Persons Outside Organization,0.333,unmapped,False
employee relations,337,67,Human Resources and Labour relations,0.6521,semantic,True
employee share ownership plan,64,30,Coordinating the Work and Activities of Others,0.2845,unmapped,False
employee share purchase plan,83,30,Coordinating the Work and Activities of Others,0.2385,unmapped,False
employee stock purchase program,105,154,Staffing ,0.2625,unmapped,False
employee training,163,154,Staffing ,0.5574,semantic,True
employerpaid training,113,67,Human Resources and Labour relations,0.3804,unmapped,False
employment equity,149,67,Human Resources and Labour relations,0.5096,unmapped,False
employment law,98,78,Law,0.4798,lexical,True
empowerment,61,142,Selling or Influencing Others,0.4391,unmapped,False
emr,109,179, Active Learning,0.2752,unmapped,False
endoscopy,64,9,Attention to Detail,0.1974,unmapped,False
endurance,66,155,Stamina,0.5549,semantic,True
energetic,82,48,Explosive Strength,0.4394,unmapped,False
energy,187,122,Physics ,0.5087,unmapped,False
energy efficiency,83,1, Independence,0.2942,unmapped,False
energy management,65,88,Managing Resources,0.5044,unmapped,False
engagement,135,180, Creativity,0.3183,unmapped,False
engineering,1532,122,Physics ,0.5239,unmapped,False
engineering degree,137,92,Mathematics,0.3938,unmapped,False
engineering design,112,128,Product Design,0.5834,semantic,True
engineering drawings,121,128,Product Design,0.4222,unmapped,False
engineering management,51,166,Time Management,0.409,unmapped,False
english,2248,77,Languages,0.356,unmapped,False
english communication,181,24,Communications and Media,0.5133,unmapped,False
english fluency,235,53,Fluency of Ideas,0.6004,semantic,True
english language,277,77,Languages,0.353,lexical,True
english language proficiency,177,77,Languages,0.4228,lexical,True
english proficiency,382,177,Written Comprehension,0.4009,unmapped,False
enterprise architecture,67,14,Business Management,0.3689,unmapped,False
enthusiasm,204,180, Creativity,0.3928,unmapped,False
entrepreneurial,114,142,Selling or Influencing Others,0.4422,unmapped,False
entrepreneurial mindset,60,165,Thinking Creatively,0.4733,unmapped,False
entrepreneurial spirit,113,142,Selling or Influencing Others,0.3934,unmapped,False
entrepreneurship,216,25,"Computer, technology and Information Systems",0.3819,unmapped,False
environment,84,82,"Livestock, Farm animals and Wildlife",0.3743,unmapped,False
environmental assessment,77,46,Evaluating ,0.4057,unmapped,False
environmental compliance,84,131,Public Safety and Security,0.3347,unmapped,False
environmental consulting,70,129,Providing Consultation and Advice,0.4236,unmapped,False
environmental engineering,120,175,Water Resources,0.37,unmapped,False
environmental impact assessment,57,46,Evaluating ,0.373,unmapped,False
environmental management,93,88,Managing Resources,0.4486,unmapped,False
environmental monitoring,59,97,Monitoring,0.6033,lexical,True
environmental regulations,136,82,"Livestock, Farm animals and Wildlife",0.3372,unmapped,False
environmental science,133,58,Geoscience,0.4541,unmapped,False
environmental sciences,51,58,Geoscience,0.4718,unmapped,False
environmental training,54,167,Training and Teaching ,0.5372,unmapped,False
epidemiology,157,82,"Livestock, Farm animals and Wildlife",0.2102,unmapped,False
equal employment opportunity,137,67,Human Resources and Labour relations,0.4127,unmapped,False
equal opportunity,119,1, Independence,0.2457,unmapped,False
equal opportunity employer,624,67,Human Resources and Labour relations,0.3875,unmapped,False
equipment,187,43,Equipment and Tool Selection,0.5894,lexical,True
equipment maintenance,409,42,Electronic Maintenance,0.6579,semantic,True
equipment management,72,43,Equipment and Tool Selection,0.6105,semantic,True
equipment operation,301,108,Operation Monitoring of Machinery and Equipment,0.6476,lexical,True
equipment repair,84,137,Repairing,0.6421,semantic,True
equity,768,50,Finance,0.3842,unmapped,False
equity diversity and inclusion,143,1, Independence,0.4226,unmapped,False
erp,329,179, Active Learning,0.3158,unmapped,False
erp systems,368,25,"Computer, technology and Information Systems",0.487,unmapped,False
estate planning,88,123,Planning and Organizing,0.4004,unmapped,False
estimating,230,45,Estimating Quantifiable Characteristics,0.5202,lexical,True
estimation,93,45,Estimating Quantifiable Characteristics,0.4058,unmapped,False
etap,77,179, Active Learning,0.2556,unmapped,False
ethernet,77,163,Telecommunications,0.32,unmapped,False
ethics,594,142,Selling or Influencing Others,0.4527,unmapped,False
etl,169,179, Active Learning,0.3032,unmapped,False
etl processes,74,37,Digital Systems Production,0.2865,unmapped,False
evaluation,548,47,Evaluation,0.6686,lexical,True
evenings,50,140,Scheduling Work and Activities,0.4026,unmapped,False
event coordination,75,29,Coordinating,0.5034,unmapped,False
event management,150,140,Scheduling Work and Activities,0.4736,unmapped,False
event planning,362,123,Planning and Organizing,0.5279,unmapped,False
evidencebased practice,662,70,Inductive Reasoning,0.3968,unmapped,False
excel,3684,5,Analyzing Data or Information,0.2717,unmapped,False
excellence,104,79,Leadership,0.4313,unmapped,False
excellent communication,51,44,Establishing and Maintaining Interpersonal Relationships,0.42,unmapped,False
excellent communication and interpersonal skills,51,44,Establishing and Maintaining Interpersonal Relationships,0.6063,semantic,True
excellent communication skills,202,167,Training and Teaching ,0.558,semantic,True
execution,177,9,Attention to Detail,0.3843,unmapped,False
executive assistant,76,130,Public Affairs and Government relations,0.3998,unmapped,False
expense control,83,85,Management of Financial Resources,0.5782,semantic,True
expense management,61,85,Management of Financial Resources,0.6297,semantic,True
experience,144,167,Training and Teaching ,0.4109,unmapped,False
extended health,137,121,Physical Health,0.3395,unmapped,False
extended health care,68,8,Assisting and Caring for Others,0.3881,unmapped,False
extended health care plans,57,8,Assisting and Caring for Others,0.2363,unmapped,False
extra income,115,180, Creativity,0.3402,unmapped,False
eye care,57,104,Night Vision,0.4335,unmapped,False
fabrication,142,90,"Manufacturing, Processing and Production",0.4336,unmapped,False
facilitation,360,30,Coordinating the Work and Activities of Others,0.5191,unmapped,False
facilitation skills,84,74,Instructing,0.5501,semantic,True
facilities management,93,88,Managing Resources,0.471,unmapped,False
facility maintenance,55,42,Electronic Maintenance,0.5264,unmapped,False
facility management,116,88,Managing Resources,0.4392,unmapped,False
family law,56,78,Law,0.3591,lexical,True
family medicine,89,8,Assisting and Caring for Others,0.3604,unmapped,False
family physician,52,8,Assisting and Caring for Others,0.3544,unmapped,False
fashion,115,180, Creativity,0.3991,unmapped,False
fashion trends,52,180, Creativity,0.282,unmapped,False
fastpaced environment,837,107,"Operating Vehicles, Mechanized Devices or Equipment",0.2229,unmapped,False
fastpaced work environment,83,140,Scheduling Work and Activities,0.332,unmapped,False
feasibility studies,114,45,Estimating Quantifiable Characteristics,0.456,unmapped,False
feedback,417,180, Creativity,0.2996,unmapped,False
field exercises,51,136,"Recreation, Leisure and Fitness",0.4043,unmapped,False
field training,92,167,Training and Teaching ,0.5606,semantic,True
field work,108,154,Staffing ,0.4159,unmapped,False
fieldwork,56,154,Staffing ,0.4712,unmapped,False
figma,74,180, Creativity,0.26,unmapped,False
file management,50,88,Managing Resources,0.435,unmapped,False
filing,106,38,Documenting and Recording Information,0.3417,unmapped,False
finance,788,50,Finance,0.6628,lexical,True
financial accounting,77,2,Accounting,0.752,lexical,True
financial acumen,143,50,Finance,0.5618,semantic,True
financial advising,65,50,Finance,0.5204,unmapped,False
financial analysis,930,50,Finance,0.5781,semantic,True
financial management,597,85,Management of Financial Resources,0.6801,lexical,True
financial modeling,219,50,Finance,0.5435,unmapped,False
financial performance,60,2,Accounting,0.5069,unmapped,False
financial planning,557,50,Finance,0.6046,semantic,True
financial planning software,154,2,Accounting,0.5222,unmapped,False
financial reporting,878,2,Accounting,0.615,semantic,True
financial services,194,50,Finance,0.584,semantic,True
financial statement analysis,54,2,Accounting,0.4673,unmapped,False
financial statement preparation,64,2,Accounting,0.5183,unmapped,False
financial statements,285,2,Accounting,0.4985,unmapped,False
financial transactions,60,2,Accounting,0.5997,semantic,True
fire protection,64,131,Public Safety and Security,0.374,unmapped,False
fire safety,50,131,Public Safety and Security,0.501,unmapped,False
firewalls,74,131,Public Safety and Security,0.3422,unmapped,False
first aid,970,8,Assisting and Caring for Others,0.3412,unmapped,False
first aid certification,121,167,Training and Teaching ,0.3186,unmapped,False
fitness,58,136,"Recreation, Leisure and Fitness",0.5328,lexical,True
fleet management,79,83,Logistics,0.4074,unmapped,False
flexibility,2567,12,Body Flexibility,0.7523,lexical,True
flexible,53,12,Body Flexibility,0.6391,semantic,True
flexible benefits,88,12,Body Flexibility,0.4642,unmapped,False
flexible group insurance,52,15,Categorization Flexibility,0.3087,unmapped,False
flexible hours,910,166,Time Management,0.4342,unmapped,False
flexible schedule,436,140,Scheduling Work and Activities,0.618,semantic,True
flexible schedules,55,140,Scheduling Work and Activities,0.6044,semantic,True
flexible scheduling,236,140,Scheduling Work and Activities,0.597,semantic,True
flexible work arrangements,102,140,Scheduling Work and Activities,0.4984,unmapped,False
flexible work environment,68,140,Scheduling Work and Activities,0.4343,unmapped,False
flexible work hours,158,140,Scheduling Work and Activities,0.4447,unmapped,False
flexible work schedule,183,140,Scheduling Work and Activities,0.6163,semantic,True
flexible working hours,59,140,Scheduling Work and Activities,0.4477,unmapped,False
fluoroscopy,73,53,Fluency of Ideas,0.2233,unmapped,False
followup,74,122,Physics ,0.2253,unmapped,False
food and beverage,54,136,"Recreation, Leisure and Fitness",0.3569,unmapped,False
food and beverage knowledge,62,66,Hospitality,0.4003,unmapped,False
food handling,188,64,Handling and Manipulating Objects,0.4106,unmapped,False
food preparation,480,3,Agronomy and Horticulture,0.364,unmapped,False
food presentation,51,3,Agronomy and Horticulture,0.3015,unmapped,False
food production,116,3,Agronomy and Horticulture,0.5923,semantic,True
food safety,749,131,Public Safety and Security,0.4111,unmapped,False
food safety certification,72,131,Public Safety and Security,0.3775,unmapped,False
food science,67,3,Agronomy and Horticulture,0.4357,unmapped,False
food service,221,143,Service Orientation,0.4876,unmapped,False
food storage,57,3,Agronomy and Horticulture,0.2612,unmapped,False
force protection,93,156,Static Strength,0.3344,unmapped,False
forecasting,870,40,Economics,0.4661,unmapped,False
forestry,64,54,Forestry,0.7373,lexical,True
forklift,54,154,Staffing ,0.4242,unmapped,False
forklift operation,192,154,Staffing ,0.3524,unmapped,False
frameworks,58,25,"Computer, technology and Information Systems",0.3537,unmapped,False
français,58,77,Languages,0.2565,unmapped,False
free parking,61,1, Independence,0.23,unmapped,False
french,2125,1, Independence,0.2813,unmapped,False
french fluency,71,53,Fluency of Ideas,0.4688,unmapped,False
french language,427,77,Languages,0.3208,lexical,True
french language proficiency,147,77,Languages,0.3316,lexical,True
french proficiency,90,56,General Learning Ability,0.3284,unmapped,False
frontend development,54,35,Developing Technical Instructions,0.2881,unmapped,False
fulltime,97,166,Time Management,0.4213,unmapped,False
functional requirements,53,45,Estimating Quantifiable Characteristics,0.4044,unmapped,False
functional testing,74,132,Quality Control Testing,0.4035,unmapped,False
fundraising,135,154,Staffing ,0.3928,unmapped,False
gaap,156,154,Staffing ,0.3097,unmapped,False
gap analysis,54,114,Pattern Organization Speed,0.2604,unmapped,False
gcp,208,154,Staffing ,0.2378,unmapped,False
gd&t,60,25,"Computer, technology and Information Systems",0.2041,unmapped,False
ged,117,179, Active Learning,0.2822,unmapped,False
general ledger,110,2,Accounting,0.2366,unmapped,False
general surgery,141,3,Agronomy and Horticulture,0.279,unmapped,False
geology,75,57,Geological Resources,0.6278,semantic,True
geotechnical engineering,146,57,Geological Resources,0.4237,unmapped,False
geriatrics,94,8,Assisting and Caring for Others,0.3558,unmapped,False
gerontology,137,3,Agronomy and Horticulture,0.4262,unmapped,False
gestion de projet,55,1, Independence,0.2574,unmapped,False
gestion du temps,71,134,Reaction Time,0.161,unmapped,False
gis,223,25,"Computer, technology and Information Systems",0.3691,unmapped,False
git,378,154,Staffing ,0.2523,unmapped,False
